,country,donated,received
0,Saudi Arabia,904049450.0,133077736.0
1,United Arab Emirates,64911546.0,3839138.0
2,Austria,71976269.0,157632201.0
3,Norway,595211435.0,43725131.0
4,Canada,1074724852.0,531674896.0
5,Italy,202320538.0,894504816.0
6,France,1642368427.0,116609845.0
7,Japan,11519942709.0,264768921.0
8,Sweden,1431496476.0,35282669.0
9,Denmark,342938692.0,104288895.0
10,Australia,331825829.0,54502260.0
11,Netherlands,2062521164.0,0.0
12,Belgium,256674475.0,147868500.0
13,United Kingdom,4525803973.0,399202551.0
14,United States,12532574095.0,0.0
15,Switzerland,450320705.0,0.0
16,Kuwait,479484645.0,325483.0
17,Germany,5203623876.0,0.0
18,India,0.0,21932700967.0
19,Spain,0.0,285026867.0
20,Thailand,0.0,5279168770.0
21,Korea,0.0,8049722983.0
22,Chile,0.0,940361756.0
23,Ireland,0.0,30268231.0
24,Greece,0.0,115371982.0
25,Poland,0.0,75000451.0
26,Iceland,0.0,18060045.0
27,Cyprus,0.0,186872404.0
28,New Zealand,0.0,11703716.0
29,Taiwan,0.0,374337090.0
30,Brazil,0.0,2021005934.0
31,Romania,0.0,44381441.0
32,Colombia,0.0,1437347317.0
33,Portugal,0.0,4136160.0
