,country,donated,received
0,Austria,196316211.0,58754588.0
1,Saudi Arabia,794361239.0,987057050.0
2,Australia,348900830.0,750247455.0
3,Norway,699022533.0,194522861.0
4,Italy,1119935132.0,703780857.0
5,New Zealand,6373751.0,213884594.0
6,Canada,2735686437.0,2865565132.0
7,Liechtenstein,1307963.0,18264370.0
8,France,3349428256.0,120922782.0
9,Finland,26277128.0,180621823.0
10,Spain,134448127.0,276684941.0
11,Sweden,2496082680.0,24474486.0
12,Denmark,1279469564.0,62021691.0
13,Switzerland,796112531.0,0.0
14,Netherlands,2918812533.0,0.0
15,Belgium,483341438.0,36477733.0
16,United Kingdom,3786179748.0,558141413.0
17,United States,24948395252.0,0.0
18,Japan,20878348248.0,1539312319.0
19,Kuwait,833789111.0,31025691.0
20,Germany,13128293622.0,0.0
21,India,0.0,31771724285.0
22,Thailand,0.0,11717311234.0
23,United Arab Emirates,0.0,271874736.0
24,Latvia,0.0,543060.0
25,Korea,0.0,6706287207.0
26,Ireland,0.0,104843176.0
27,Chile,0.0,1695204536.0
28,Greece,0.0,100593857.0
29,Poland,0.0,6711335285.0
30,Czech Republic,0.0,549039.0
31,Cyprus,0.0,502507700.0
32,Qatar,0.0,12087056.0
33,Hungary,0.0,348395295.0
34,Taiwan,0.0,1401985792.0
35,Brazil,0.0,5944012231.0
36,South Africa,0.0,698165221.0
37,Romania,0.0,267469359.0
38,Colombia,0.0,3913240091.0
39,Portugal,0.0,170993388.0
